Party and Electorate Candidate Votes Recorded at each Voting Place
Hutt South 14,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",282,30,5,396,0,3271,16,1569,59,116,2,23,2,2,4,104,4,5885,33
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",80,5,0,108,0,658,3,271,21,18,1,2,0,0,3,31,1,1202,4
Melling,"Hutt City Church, 31B Marsden Street",42,5,2,42,0,229,0,118,18,7,0,1,0,0,0,12,0,476,1
Moera,"Moera Community Hall, 107 Randwick Crescent",34,3,0,66,0,339,2,102,8,18,0,5,0,0,0,8,2,587,3
,"Randwick School, 59 Randwick Road",7,0,0,20,0,106,0,33,0,3,0,0,0,0,0,5,0,174,0
Mt Cook,"Massey University, Flax and Fern Room, Block 9, Wallace Street",1,1,1,21,0,21,0,6,0,0,0,0,0,0,0,2,0,53,0
,"Rata Street School Hall, 73 Rata Street",0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,7,0
,"Treadwell Street Hall, 25 Treadwell Street",3,0,1,14,0,66,0,27,2,3,0,0,0,1,0,4,0,121,0
Normandale,"St Aidan's on the Hill, Church Hall, Corner Poto Road & Stratton Street",5,0,1,19,0,89,0,30,3,4,0,0,0,0,0,2,0,153,0
Petone,"Petone Central School, 16 Britannia Street",2,0,0,14,0,50,0,15,1,0,0,0,0,0,0,3,0,85,0
,"Petone Library and Heritage Centre, 7 Britannia Street",136,18,5,357,0,1510,11,574,20,67,1,7,0,1,0,59,3,2769,17
,"Petone Working Men's Club, 47 Udy Street",57,2,4,93,0,635,6,313,5,43,0,1,0,0,0,19,0,1178,4
,"WelTec, Petone Campus, C Block, Rm C101, 21 Kensington Avenue",7,0,0,10,0,49,0,12,1,1,0,0,0,0,0,3,0,83,0
,"Wilford School, 100 William Street",15,0,0,35,0,165,1,80,1,5,0,0,0,0,0,6,0,308,0
Porirua,"North City Shopping Centre, Shop 112 (next to Silvermoon), 2 Titahi Bay Road",3,0,0,1,0,34,1,12,0,1,0,0,0,0,0,1,0,53,0
Seaview,"Kokiri Marae, 7-9 Barnes Street",4,0,2,11,0,59,2,17,1,3,0,1,0,0,0,1,0,101,0
Silverstream,"Riding for the Disabled, County Lane",3,0,0,2,0,2,0,2,0,0,0,0,0,0,0,1,0,10,0
,"Silverstream School Hall, 27 Whitemans Road",0,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,12,0
Taitā,"Avalon Intermediate School Hall, 1041 High Street",0,0,0,1,0,12,0,1,0,1,0,0,0,0,0,2,0,17,0
,"Te Whakaruruhau Marae (Next to netball courts), 188 Eastern Hutt Road",0,0,0,1,0,5,0,4,0,0,0,1,0,0,0,0,0,11,0
,"Walter Nash Centre, 26 Taine Street",4,1,0,9,0,76,0,22,4,3,0,3,0,0,0,0,0,122,2
Upper Hutt,"The Mall, former t&t shop, Ground Floor, 185 Main Street",2,1,0,1,0,65,0,16,1,0,1,0,0,0,0,2,0,89,0
Wainuiomata,"Wainuiomata Community Hub, Library Building, 1 Queen Street",8,2,3,31,1,324,5,34,6,7,0,8,0,0,0,3,0,432,4
,"Wainuiomata Intermediate School, 66 Konini Street",16,1,1,5,1,174,0,32,2,6,0,1,1,0,0,3,0,243,3
,"Wainuiomata Marae, 153-201 Parkway",1,0,0,4,0,34,0,16,0,0,0,0,0,0,0,3,1,59,0
