Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",28,4,0,34,0,229,4,69,9,10,0,1,0,0,3,5,0,396,3
,"St Giles Presbyterian Church, 1207 Dominion Road",11,1,0,19,0,155,2,98,4,10,1,4,0,0,1,1,0,307,1
,"St Therese Catholic Church, 463 Mt Albert Road",7,0,0,17,0,99,1,50,1,1,0,0,1,0,2,0,0,179,1
,"Tri-Star Gymnastic Club Incorporated, 55 Arundel Street",8,1,0,6,0,104,2,68,4,3,0,1,0,0,3,0,0,200,1
,"Wesley Community Centre, Tarapunga Room, 74 Sandringham Road Extension",8,1,0,9,0,126,2,26,0,6,3,1,0,0,1,1,0,184,0
,"Wesley Intermediate School, 778 Sandringham Road Extension",3,0,0,7,0,77,0,20,1,3,0,0,0,0,0,1,0,112,1
,"Wesley Primary School, 24 Potter Avenue",3,1,1,1,0,76,2,7,1,1,0,0,0,0,0,1,0,94,2
New Lynn,"Lynn Mall (former House of Travel shop), 3058 Great North Road",0,0,0,2,0,18,0,4,0,0,0,0,0,0,0,0,0,24,0
,"Salvation Army Church Hall, 32 Delta Avenue",0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,6,0
Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",3,0,0,3,0,12,0,12,0,1,0,0,0,0,1,0,0,32,2
New Windsor,"New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",31,3,0,27,0,149,2,84,5,13,0,0,0,0,4,2,0,320,3
Onehunga,"Onehunga Community Centre, 83 Church Street",2,0,0,2,0,10,0,5,1,3,0,0,0,0,0,1,0,24,0
,"Onehunga High School Hall, 24 Pleasant Street",1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0
