Party and Electorate Candidate Votes Recorded at each Voting Place
Takanini 48,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Special Votes BEFORE Polling Day - Takanini,172,46,28,162,0,3142,31,1324,78,77,1,14,1,3,37,27,35,5178,42
,Special Votes ON Polling Day - Takanini,88,32,15,112,0,1909,27,841,54,56,2,8,0,2,22,25,23,3216,47
,Votes Allowed for Party Only - Takanini,8,7,10,21,0,354,13,79,8,6,1,3,1,0,4,3,10,528,5
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

,Takanini Total,1688,223,97,1206,3,20022,162,10952,618,722,15,69,2,13,211,219,183,36405,318

,Valid Party Votes plus Informal Party Votes,,36723

Electorate Party Valid Votes,,,Labour Party - 55.00%
ACT New Zealand,1688,4.64
Advance NZ,223,0.61
Aotearoa Legalise Cannabis Party,97,0.27
Green Party,1206,3.31
HeartlandNZ,3,0.01
Labour Party,20022,55.00
Māori Party,162,0.44
National Party,10952,30.08
New Conservative,618,1.70
New Zealand First Party,722,1.98
NZ Outdoors Party,15,0.04
ONE Party,69,0.19
Social Credit,2,0.01
Sustainable New Zealand Party,13,0.04
TEA Party,211,0.58
The Opportunities Party (TOP),219,0.60
Vision New Zealand,183,0.50
