Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Kaikōura Total,4917,390,139,2282,4,19159,70,13007,798,1247,124,246,35,27,7,493,10,42955,251

,Valid Party Votes plus Informal Party Votes,,43206

Electorate Party Valid Votes,,,Labour Party - 44.60%
ACT New Zealand,4917,11.45
Advance NZ,390,0.91
Aotearoa Legalise Cannabis Party,139,0.32
Green Party,2282,5.31
HeartlandNZ,4,0.01
Labour Party,19159,44.60
Māori Party,70,0.16
National Party,13007,30.28
New Conservative,798,1.86
New Zealand First Party,1247,2.90
NZ Outdoors Party,124,0.29
ONE Party,246,0.57
Social Credit,35,0.08
Sustainable New Zealand Party,27,0.06
TEA Party,7,0.02
The Opportunities Party (TOP),493,1.15
Vision New Zealand,10,0.02
