Party and Electorate Candidate Votes Recorded at each Voting Place
Ōhāriu 33,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Ngaio,"Ngaio School, 45 Abbott Street",9,1,0,49,0,86,2,24,0,0,0,0,0,0,0,11,0,182,0
,"Ngaio Town Hall, 1 Ottawa Road",59,0,0,218,0,434,1,132,0,8,1,1,0,0,0,17,0,871,1
Paparangi,"Paparangi School, 59 Beazley Avenue",10,2,0,12,0,86,2,19,0,0,0,0,1,0,0,2,0,134,0
,"Petone Library and Heritage Centre, 7 Britannia Street",7,0,0,9,0,23,1,22,0,1,0,0,0,0,0,1,0,64,1
,"Petone Working Men's Club, 47 Udy Street",0,0,1,5,0,9,0,4,0,0,0,0,0,0,0,1,0,20,0
Porirua,"North City Shopping Centre, Shop 112 (next to Silvermoon), 2 Titahi Bay Road",25,2,0,57,1,328,5,129,8,10,1,6,0,0,0,12,0,584,4
,"Pātaka Art + Museum, Performing Arts Studio, Corner Norrie Street & Parumoana Street",1,0,0,7,0,14,0,5,0,1,0,0,0,0,0,1,0,29,0
Tawa,"Redwood School, 71a Redwood Avenue",13,0,0,33,0,105,0,44,3,0,0,4,0,0,0,3,0,205,1
,"Tawa Community Centre, 5 Cambridge Street",176,10,3,347,0,1619,8,661,37,74,1,17,0,4,0,75,1,3033,18
,"Tawa School, 6a Oxford Street",24,1,2,31,0,156,0,60,1,6,2,0,0,0,0,6,0,289,2
Thorndon,"Thorndon School Hall, 26 Murphy Street",1,0,0,12,0,21,0,12,0,0,0,0,0,0,0,3,0,49,0
Wadestown,"Wadestown School, 2-6 Rose Street (access by steep walking path only)",23,0,0,99,0,117,1,42,4,3,0,0,1,0,0,11,0,301,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",90,3,1,238,0,645,2,270,9,15,0,1,1,0,0,36,0,1311,2
,"Kahungunu Whānau Services, Level 5, 35 Victoria Street",14,0,0,30,0,89,0,38,1,1,0,0,0,1,0,6,0,180,1
,"Pop Up Voting Place, 73 Manners Street",25,0,0,120,0,190,2,79,2,6,0,1,0,0,2,15,0,442,0
,"Pop Up Voting Place, Dukes Arcade, 105 Willis Street",36,0,1,119,0,266,0,154,3,5,0,1,0,0,0,24,1,610,5
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",50,2,0,152,0,336,5,127,6,9,0,0,0,0,1,30,0,718,2
,"Wellington Museum Von Kohorn Room, Queens Wharf, 3 Jervois Quay",21,0,0,44,0,117,0,52,1,2,0,2,0,0,0,7,0,246,1
Wilton,"Otari School Hall, 166 Wilton Road",2,0,0,19,0,35,0,9,0,1,0,0,0,0,0,0,0,66,0
,Rest Homes Team - Taken in Ōhāriu,0,0,0,5,0,23,0,6,1,0,0,0,0,0,0,0,0,35,3

Voting Places
Churton Park,"Amesbury School, 48 Amesbury Drive",36,2,0,25,0,193,0,211,6,8,0,0,0,0,0,5,0,486,2
,"Churton Park School, 90 Churton Drive",26,1,0,41,0,171,1,138,4,16,0,2,0,0,0,7,0,407,0
Crofton Downs,"Crofton Downs Primary School, Chartwell Drive",16,0,0,39,0,97,0,47,4,7,0,0,1,0,0,8,0,219,1
,"Ngaio Playcentre, 50 Silverstream Road",15,0,0,30,0,87,0,34,0,2,0,0,0,0,0,8,0,176,1
Grenada North,"Baptist Bible Church, 20 Cashew Street",4,0,0,2,0,18,0,10,3,2,0,0,0,0,0,2,0,41,0
Grenada Village,"Grenada Village Community Hall, 4 Mandeville Crescent",11,2,0,12,0,111,0,48,7,1,0,0,0,0,0,5,0,197,0
Johnsonville,"Broderick Road Chapel, 17 Broderick Road",2,0,0,14,0,28,0,22,6,2,0,1,0,0,0,4,0,79,0
,"Johnsonville School, 8 Morgan Street",14,0,0,29,0,98,1,66,4,8,0,2,0,0,0,5,0,227,0
,"Johnsonville Shopping Centre, Shop 12 (was Paper Plus), 16 Broderick Road",46,2,1,82,0,386,5,184,12,15,0,6,0,0,0,20,2,761,3
,"Johnsonville Shopping Centre, Shop 31 (beside Food Court), 16 Broderick Road",16,6,1,29,0,164,2,92,5,11,1,0,0,0,0,7,0,334,2
,"Onslow College, Burma Road",30,0,0,57,0,115,2,83,0,7,0,1,0,0,0,22,1,318,3
,"West Park School, 97 Broderick Road",11,0,1,19,0,96,1,43,5,4,0,0,0,0,0,9,0,189,1
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,0,9,0
