Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast Bays
Great Barrier Island,"Aotea Community Art Gallery, Schoolmaster's House, 80 Hector Sanderson Road",0,1,0,1,0,9,0,1,0,0,0,0,0,0,0,1,0,13,0
,"Aotea Health, Nurses Cottage, 2077 Aotea Road",0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,9,0
,"Okiwi School, 1606-1608 Aotea Road",0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0
,"Tryphena Mulberry Grove School, 271 Shoal Bay Road",0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,11,0
East Coast Bays
Albany,"Albany Community Hall, Corner Albany Highway & Library Lane",0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,2,8,0
,"Albany Primary School, 6 Bass Road",0,0,0,1,0,4,1,2,0,1,0,0,0,0,0,0,0,9,0
,"Pinehurst School, 75 Bush Road",0,0,0,0,0,8,0,3,0,1,0,0,0,0,0,0,0,12,0
,"Westfield Mall, 219 Don McKinnon Drive",0,0,0,1,0,11,1,1,0,0,0,1,0,0,0,0,0,15,0
Browns Bay,"Browns Bay School, 4 Masterton Road",0,0,0,2,0,4,0,2,0,2,0,0,0,0,0,0,0,10,0
,"East Coast Bays Service Centre, 2 Glen Road",1,1,1,2,0,4,1,2,0,0,0,0,0,0,0,1,0,13,0
,"Pinehill School, 2 Hugh Green Drive",0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0
Long Bay,"Long Bay College, 20 Ashley Avenue",0,0,0,1,0,7,0,0,1,1,0,0,0,0,0,0,0,10,0
Mairangi Bay,"Rangitoto College, 564 East Coast Road",0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0
,"Windsor Park Baptist Church, 550 East Coast Road",0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,2,0,10,0
Northcross,"Sherwood Primary School, 40 Sartors Avenue",0,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,8,0
,"Oteha Valley School, 2 Medallion Drive",0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,3,9,0
Redvale,"East Coast Bays Bible Baptist Church, 1092 East Coast Road",0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,8,0
Torbay,"Glamorgan School, 145 Glamorgan Drive",0,0,0,6,0,4,1,3,0,2,0,0,0,0,0,0,1,17,0
,"Torbay School, 60 Deep Creek Road",0,1,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,10,1
,"Torbay Senior Citizens Club, 37 Watea Road",0,0,0,0,0,5,1,2,0,1,1,0,0,0,0,0,0,10,0
Kaipara ki Mahurangi
Helensville,"Helensville War Memorial Hall, 2 Porter Crescent",0,0,2,2,0,31,6,3,1,5,0,1,0,0,0,0,0,51,0
Huapai,"Huapai District School Hall, 40 Station Road",1,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,9,0
Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",0,2,0,2,0,12,5,1,0,0,0,1,0,0,0,0,0,23,1
Kumeū,"Kumeu Showgrounds, 35-41 Access Road",0,1,0,0,0,9,1,4,0,1,0,1,0,0,0,0,0,17,0
Massey,"Massey Presbyterian Church Hall, 510 Don Buck Road",0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,6,0
,"Royal Road School, 112 Royal Road",0,0,1,1,0,13,3,1,0,0,0,0,0,0,0,0,0,19,0
,"Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street",2,0,0,5,0,15,12,1,0,5,0,0,0,0,0,0,0,40,0
Muriwai,"Muriwai Fire Station, 341 Motutara Road",0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0
Parakai,"River Valley Baptist Church Hall, 1 Fordyce Road",0,2,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,17,0
Riverhead,"Riverhead Primary School, 21 School Road",1,0,1,1,0,9,5,2,0,0,0,0,0,0,0,0,0,19,0
Te Hana,"Te Hana Community Hall, 12 Whakapirau Road",0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,12,0
Waimauku,"Waimauku War Memorial Hall, 24 Waimauku Station Road",0,1,0,0,0,9,1,5,0,2,0,0,0,0,0,0,0,18,0
Warkworth,"Mahurangi College Hall Foyer, 2 Woodcocks Road",0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,7,0
,"Unit 7, 1/9 The Grange Warkworth, Fairwater Road",2,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,9,0
,"Warkworth Old Masonic Hall, 3 Baxter Street",0,0,1,0,0,6,0,3,0,1,0,0,0,0,0,1,0,12,0
,"Warkworth Primary School, 35 Hill Street",0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,6,0
,"Tomarata Primary School, Pakiri Block Road",1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0
,"Wellsford District Community Centre, 1 Matheson Road",0,0,0,0,0,11,3,2,0,3,0,2,0,0,0,0,0,21,0
Whenuapai,"NorthWest Mall, Shop 20A, Maki Street",1,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,14,0
,"Whenuapai School, 14 Airport Road",1,0,0,2,0,4,3,3,0,0,0,0,0,0,0,0,0,13,0
,"Whenuapai Village Hall, 41 Waimarie Road",0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,6,1
Kelston
,"Hoani Waititi Marae School, Te Whare Tapere, 441 West Coast Road",0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,9,0
Henderson,"Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",1,2,0,3,0,13,8,0,0,0,0,1,0,0,0,0,0,28,0
New Lynn
Waitākere,"Waitakere Township Hall, 37 Township Road",0,1,0,1,0,6,1,3,0,0,0,0,0,0,0,0,0,12,0
North Shore
