Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Mana
,"The Father's House, 28 Criterion Street",2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,10,1
Feilding,"Feilding Civic Centre, 84 Aorangi St",4,19,4,21,0,184,43,13,3,19,0,1,0,0,0,3,0,314,5
,"Lytton Street School, Corner Lytton & Monmouth Streets",0,0,0,2,0,16,1,0,0,3,0,0,0,0,0,0,0,22,1
,"Manchester Street School, 160 Manchester Street",1,0,0,1,0,11,2,0,0,1,0,0,0,0,0,2,0,18,0
,"North Street School, 52 North Street",0,1,0,0,0,14,6,0,0,0,0,0,0,0,0,3,0,24,0
Hunterville,"Hunterville Consolidated School, 33 Bruce Street",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
Linton,"Linton Camp School, Puttick Road",1,0,0,2,0,13,1,1,0,0,0,0,0,0,0,1,0,19,0
,Manawatu Prison mobile team,0,0,1,1,0,23,4,0,0,0,0,0,0,0,0,0,0,29,0
Marton,"St Andrew's Presbyterian Church Hall, 226 Broadway",6,1,2,8,0,161,23,4,1,6,0,3,0,0,0,2,0,217,4
Ohakune,"Ohakune Council Chambers, 37 Ayr St",3,2,1,7,0,64,39,2,0,7,1,1,0,0,0,0,1,128,3
,"Te Pae Tata Community Hub, 43A Ruapehu Rd",0,0,1,0,0,11,6,0,0,2,0,0,0,0,0,0,0,20,0
,"MUSA Student Centre Lounge, Massey University Concourse, University Drive",1,1,0,23,0,18,13,4,1,0,0,0,0,0,0,5,0,66,0
,"Summerhill Shopping Centre, Unit 2.8, 194 Ruapehu Drive",1,3,1,14,0,60,17,8,1,2,0,0,0,0,1,0,1,109,2
Raetihi,"Raetihi Chambers, 44 Seddon St",1,0,0,1,0,16,6,0,0,0,1,2,0,0,0,0,0,27,0
Rātana,"Te Kura O Rātana, Kiatere Street",0,1,0,1,0,64,7,0,0,2,0,1,0,0,0,0,0,76,1
Sanson,"Sanson Community Hall, Fagan Street",0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,11,0
Shannon,"Shannon Memorial Hall, 8 Grey St",0,2,1,8,0,63,11,3,0,1,0,0,0,0,0,0,0,89,0
Taihape,"Taihape Town Hall, 90 Hautapu Street",3,5,0,5,0,115,27,5,0,6,0,4,0,0,0,1,1,172,3
Taumarunui,"REAP Central King Country, 115 Hakiaha Street",4,9,5,10,0,225,54,8,0,14,1,2,0,0,0,1,2,335,4
,"Taumarunui Primary School Hall, 2 Maata Street",0,0,0,2,0,11,3,0,0,1,0,0,0,0,0,0,1,18,0
Waiouru,"Waiouru Primary School, Ruapehu Road",1,1,1,0,0,20,4,1,1,1,0,0,0,0,0,1,0,31,0
Remutaka
,Prisons Team - Taken in Remutaka,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
Taranaki-King Country
Inglewood,"Inglewood High School, 129 Rata Street",0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,9,0
,"Inglewood Primary School, 33 Kelly Street",0,0,0,1,0,5,1,2,0,1,0,0,0,0,0,0,0,10,0
,"Inglewood Public Library, 46 Rata Street",1,0,0,0,0,28,3,2,0,1,0,0,0,0,0,0,0,35,0
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",0,2,2,1,0,21,5,1,0,0,0,0,0,0,0,0,0,32,2
Otorohanga,"Otorohanga College, Bledisloe Avenue",1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0
,"Otorohanga District Council, 17 Maniapoto Street",0,0,0,0,0,16,2,0,0,2,0,0,0,0,0,0,0,20,0
,"Otorohanga St John Ambulance Hall, 11 Kakamutu Road",2,2,0,5,0,107,14,6,0,5,0,1,0,0,0,1,0,143,1
Piopio,"Piopio Primary School, 14 Aria Road",0,1,0,1,0,16,2,3,1,0,0,0,0,0,0,0,0,24,0
Te Awamutu,"Te Awamutu Scout Hall, 11 Scout Lane",0,1,2,4,0,39,7,0,0,8,0,0,0,0,0,1,0,62,4
Te Kuiti,"Te Kuiti High School, C Block, 21 Hospital Road",0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,12,0
,"Te Kuiti Primary School, 1 Rora Street",0,3,0,5,0,38,7,1,0,2,0,0,0,0,0,1,0,57,0
,"Te Kuiti Railway Building 3, Rora Street",2,0,2,0,0,60,4,1,0,1,0,1,0,0,0,1,0,72,5
Urenui,"Urenui School, 1 Takiroa Street",0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,7,0
Taupō
Putāruru,"Putaruru Contract Bridge Club, 3 Overdale Street",2,3,0,10,0,150,19,8,0,13,1,2,0,0,0,1,1,210,2
Taupō,"28 Heuheu St (next to Footloose), Town Centre",0,1,0,3,0,7,1,0,0,1,0,0,0,0,0,0,0,13,1
,"Corner Tongariro and Horomatangi St (formerly Champions of the World), Town Centre",0,0,0,0,0,10,4,2,0,0,0,0,0,0,0,0,0,16,0
Tokoroa,"St John Ambulance Hall, 62 Logan Street",2,8,11,19,0,451,102,7,5,18,1,7,0,0,0,2,5,638,11
Turangi,"Tongariro Senior Citizens Hall, 83 The Town Centre",0,1,0,2,0,7,0,0,0,3,0,0,0,0,0,1,0,14,0
Wellington Central
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",0,0,0,11,0,31,8,5,0,3,0,0,0,0,0,2,0,60,1
,"Kahungunu Whānau Services, Level 5, 35 Victoria Street",0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,7,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",1,0,0,9,0,33,8,6,0,3,0,0,0,0,0,1,0,61,0
Whanganui
Aramoho,"Churton School, Burmah Street",0,0,0,1,0,15,4,0,0,0,0,0,0,0,0,0,0,20,0
Castlecliff,"Castlecliff School, 25 Polson Street",0,0,0,3,0,24,7,0,0,0,0,1,0,0,0,0,0,35,3
,"Marie McFarland Kindergarten, 40b Cornfoot Street",0,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,10,1
Eltham,"All Saints Church Hall, 88 King Edward Street",0,3,1,3,0,82,16,2,2,3,0,0,0,0,0,2,0,114,0
Gonville,"Baden Powell Scout Hall, 13 Swiss Avenue",1,8,2,7,0,153,32,3,1,8,5,2,0,0,0,2,1,225,8
Hāwera,"Hāwera Intermediate School, 245 South Road",0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,21,0
,"Presbyterian Centre, 35 Argyle Street",4,9,5,22,0,225,108,14,1,11,0,2,0,0,0,4,1,406,5
,"Turuturu School, 194 Glover Road",0,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,10,0
Manaia,"Manaia School, Patu-Kukupa Street",0,0,0,0,0,13,6,1,0,1,0,0,0,0,0,0,0,21,1
Pātea,"Patea Old Folks Association Hall, 139 Egmont Street",0,2,2,3,0,81,25,2,0,7,0,0,0,0,0,0,0,122,3
Springvale,"Jubilee Stadium, Jubilee Extension, 228 London Street",0,0,1,9,0,44,17,0,0,0,0,0,0,0,0,0,0,71,1
,"Stratford War Memorial Hall, 55 Miranda Street",3,4,4,6,0,85,6,5,0,7,0,0,1,0,0,0,0,121,5
Tawhero,"Tawhero School, 27 Totara Street",0,3,1,1,0,8,4,0,0,0,0,1,0,0,0,0,0,18,0
,"Whanganui Cook Island/Fijian Community Hall, 71 Puriri Street (corner Harper Street)",0,5,3,7,0,78,26,0,1,3,0,2,0,0,0,0,0,125,1
Waverley,"Waverley Primary School, Gloag Street",0,0,1,0,0,9,4,0,0,1,0,0,0,0,0,0,0,15,1
Whanganui,"Carlton School, 99a Carlton Avenue",1,0,0,3,0,7,4,0,1,0,0,0,0,0,0,0,0,16,1
,"Cullinane College, 15 Peat Street",0,0,0,1,0,8,2,0,0,0,0,2,0,0,0,0,0,13,0
,"Keith Street School, 38-46 Keith Street",0,0,0,1,0,13,2,1,0,0,0,1,0,0,0,0,2,20,0
,"Rangahaua Marae Wharekai, 101 Bell Street, Tupoho Complex",0,1,2,8,0,33,35,0,0,1,0,1,0,0,0,1,0,82,0
,"St Andrew's Presbyterian Church, 42 Glasgow Street",0,3,2,4,0,34,5,1,0,3,0,5,0,0,0,0,1,58,0
,"Te Awa Tupua - Mobile Team, Whanganui River Road",0,2,3,1,0,28,34,1,0,5,0,0,0,0,0,1,0,75,0
,"The Treasury (ex National Bank at Majestic Square), 98 Victoria Avenue (corner Maria Place)",1,1,2,11,0,184,61,6,1,6,0,10,0,0,0,3,0,286,3
,"UCOL, Backhouse Building, A Block, 28 Taupo Quay",2,4,1,21,0,170,58,5,3,9,1,3,0,0,0,0,0,277,5
,"Whanganui City College, 84 Ingestre Street",0,0,1,1,0,8,2,0,0,0,0,0,0,0,0,0,0,12,1
Whanganui East,"All Saints Church Hall, 70 Moana Street",2,14,9,13,0,181,56,3,0,13,0,0,0,0,0,0,1,292,3
,"Whanganui Girls' College, 21 Jones Street",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0
,Prisons Team - Taken in Whanganui,0,0,2,0,0,17,8,0,0,0,0,0,0,0,0,1,0,28,1

Voting Places
Mana
Aotea,"Aotea College Gym, Entrance from Whitford Brown Drive",0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,7,0
,"Horouta Marae Kōhanga Reo, 5 Whitford Brown Avenue",0,1,0,4,0,15,3,1,0,2,0,0,0,0,0,0,0,26,1
Ascot Park,"Rangikura School Hall, 95 Conclusion Street",0,1,1,4,0,16,5,1,0,3,0,0,0,0,0,1,0,32,0
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",0,2,0,1,0,41,2,0,0,0,0,1,0,0,0,0,0,47,0
,"Maraeroa School Hall, 47 Driver Crescent",0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,11,0
,"Russell School Hall, 18 Fantame Street",0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,8,1
Elsdon,"Porirua School, 1 Awarua Street",0,0,0,4,0,33,2,2,0,1,0,0,0,0,0,0,0,42,1
Linden,"Linden Social Centre, 10 Linden Avenue",1,0,1,2,0,11,4,4,0,2,0,0,0,0,0,1,0,26,1
Mana,"St Barnabas' Church Hall, 106a Mana Esplanade",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
Paekākāriki,"Paekākāriki School Hall, 100 Wellington Road",0,1,0,4,0,9,2,0,0,1,0,0,0,0,0,0,0,17,0
,"St Peter's Village Hall, Corner Beach Road & Ames Street",1,0,2,4,0,5,0,0,0,2,0,0,0,0,0,0,0,14,0
Papakōwhai,"Papakōwhai School Hall, 17 Spey Place",0,0,1,2,0,6,1,2,0,0,0,0,0,0,0,0,0,12,0
Paraparaumu,"Paraparaumu School Hall, 11 Ruapehu Street",0,0,0,1,0,12,2,2,0,0,0,0,0,0,0,0,0,17,2
Paremata,"Paremata School Hall, 43 Paremata Crescent",0,0,0,1,0,5,1,0,0,1,0,0,0,0,0,2,0,10,0
Plimmerton,"Plimmerton School Hall, 11 School Road",1,0,1,3,0,7,1,1,0,0,0,0,0,0,0,0,0,14,0
Porirua,"North City Shopping Centre, Shop 112 (next to Silvermoon), 2 Titahi Bay Road",1,1,3,4,0,36,11,0,0,1,0,0,0,0,0,1,0,58,0
,"Pātaka Art + Museum, Performing Arts Studio, Corner Norrie Street & Parumoana Street",0,1,0,6,0,30,7,3,0,2,0,1,0,0,0,0,0,50,0
Porirua East,"Porirua East School Hall, 8 Martin Street",0,2,2,1,0,28,2,0,0,3,0,0,0,0,0,1,0,39,0
,"Windley School Hall, 146 Mungavin Avenue",0,1,2,1,0,9,3,2,0,0,0,0,0,0,0,0,0,18,0
Pukerua Bay,"Pukerua Bay School Hall, 89 Rawhiti Road",0,0,0,4,0,2,0,1,2,1,0,0,0,0,0,2,1,13,0
