Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast
Hastings City,"St John Ambulance Hall, 107 Southland Road",0,0,1,6,0,43,8,2,0,3,0,1,0,0,0,0,1,65,2
Haumoana,"Haumoana School Hall, 7 Raymond Road",0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0
Havelock North,"Havelock North Bridge Club, 51 Brookvale Road",1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,7,0
,"Havelock North Function Centre, 30 Te Mata Road",1,0,0,1,0,20,1,2,0,1,0,0,0,0,0,0,0,26,1
,"Havelock North High School, 177 Te Mata Road",1,0,1,1,0,5,0,1,0,1,0,0,0,0,0,0,0,10,0
,"Havelock North Primary School, 9 Campbell Street",0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,7,0
,"Lucknow School, 42 Elliott Crescent",0,0,0,2,0,21,3,0,0,0,0,0,0,0,0,0,1,27,0
Mahora,"Aubyn Live Theatre, 815 St Aubyn Street West",0,0,0,0,0,31,3,2,1,0,0,0,0,0,0,0,0,37,1
,"St John's Presbyterian Church, Jireh Hall, 608 Frederick Street",0,1,3,8,0,60,17,2,0,8,0,0,0,0,0,2,1,102,0
Mangateretere,"Mangateretere School, 314 State Highway 2",0,0,2,5,0,29,7,0,0,2,0,0,0,0,0,0,0,45,1
Mayfair,"Karamu High School Hall, 1036 Windsor Avenue",0,0,0,3,0,35,6,2,0,5,0,0,0,0,0,0,0,51,0
,"Mayfair School, 1110 Willowpark Road North",1,2,1,4,0,82,9,2,0,9,0,0,0,0,0,0,0,110,3
